Cây Kỹ Năng (Tự Lưu & Điểm Cấp)	技能樹（自動儲存與等級點數）
BXH Cày Vàng & EXP (Money/s & EXP/s)	金幣與經驗值掛機效率排行
Thống Kê DPS Kỹ Năng (Combat Breakdown)	技能 DPS 與傷害分析
Hồ Sơ & Tiến Độ EXP	角色資料與經驗值進度
Lò Rèn & Kho Ngọc (Auto Fuse)	寶石鍛造與倉庫（自動合成）
Quản Lý Lò Rèn & Kho Ngọc Tự Động (Auto Jewel Forge & Storage)	自動寶石鍛造與倉庫管理
War of Genesis: Idle Loot - Dữ Liệu & Chiến Lược Toàn Diện	War of Genesis: Idle Loot－完整資料與策略助手
War of Genesis Idle Loot Helper — 100% Miễn Phí & Phi Lợi Nhuận	War of Genesis Idle Loot 助手 — 完全免費、非營利
Ủng Hộ Tác Giả	支持原作者
Ủng hộ Genesis Helper	支持 Genesis Helper
Lời Nhắn Từ Tác Giả	原作者的話
Ngân Hàng MB (Việt Nam)	MB 銀行（越南）
Binance Pay (Quốc Tế / Crypto)	Binance Pay（國際／加密貨幣）
Quét bằng ứng dụng Ngân hàng bất kỳ	使用銀行應用程式掃描
Quét bằng App Binance (Binance Pay)	使用 Binance 應用程式掃描（Binance Pay）
SỐ TÀI KHOẢN (ACCOUNT NUMBER)	帳號
CHỦ TÀI KHOẢN (ACCOUNT HOLDER)	戶名
NGÂN HÀNG (BANK)	銀行
LỜI NHẮN (NOTE)	備註
NỀN TẢNG (PLATFORM)	平台
BINANCE PAY ID / USERNAME	Binance Pay ID／使用者名稱
TIỀN TỆ HỖ TRỢ (SUPPORTED COINS)	支援幣種
HƯỚNG DẪN NHANH (HOW TO PAY)	付款快速指南
Chúc bạn chơi game vui vẻ & săn được nhiều đồ giá trị!	祝你遊戲愉快，獲得更多珍貴戰利品！
Chuyển đổi ngôn ngữ / Switch Language	顯示語言
Tiếng Việt	繁體中文
Tiếng Anh	英文
Mất kết nối hoặc văng game!	連線中斷或遊戲閃退！
Đang tự động mở lại game qua Steam (hoàn toàn tự động, bạn không cần bấm gì cả).	正在透過 Steam 自動重新啟動遊戲，無須點擊。
Lưu ý: Nếu trình duyệt hiện hộp thoại hỏi "Mở Steam?", hãy tích chọn	注意：若瀏覽器詢問「開啟 Steam？」，請勾選
Luôn cho phép	一律允許
để mọi lần sau mở tự động 100%.	以便之後自動開啟。
Bấm để kích hoạt mở lại ngay nếu muốn	點擊即可立即重新啟動
Mở Thủ Công (Steam)	手動啟動（Steam）
TỰ ĐỘNG BẬT LẠI GAME: ĐANG CHẠY	自動重新啟動遊戲：執行中
Treo Đêm 24/7 Không Lo Mất Kết Nối (Watchdog)	全天候掛機自動重啟（Watchdog）
Treo Đêm 24/7 (Watchdog)	全天候掛機（Watchdog）
Tự động giám sát & bật lại Genesis.exe khi bị crash hoặc mất mạng	監控 Genesis.exe，閃退或斷線時自動重新啟動
Đóng thông báo	關閉通知
Mở menu: Kỹ Năng Huấn Luyện & Trang Bị Toàn Game	開啟選單：訓練技能與裝備資料庫
Bảng Tra Cứu Ngọc (85 Loại Ngọc)	寶石資料庫（85 種）
Tra cứu 85 loại ngọc vũ khí, giáp, phụ kiện, mana & giá Steam	查詢 85 種武器、防具、飾品、魔力寶石與 Steam 價格
Tra cứu 1.872 trang bị & lọc theo cấp / slot	查詢 1,872 件裝備，依等級／部位篩選
Tra cứu 85 loại ngọc, chỉ số ngẫu nhiên & giá Steam Market	查詢 85 種寶石、隨機屬性與 Steam 市集價格
Tra Cứu Ngọc & Giá Steam Community Market	寶石資料庫與 Steam 社群市集價格
Tra Cứu Ngọc (Jewels & Giá Steam)	寶石與 Steam 價格查詢
Bảng Tra Cứu Trang Bị Toàn Game	完整裝備資料庫
Kỹ Năng Huấn Luyện (Training Skills)	訓練技能
Kỹ Năng Huấn Luyện (Nâng Vàng)	訓練技能（金幣強化）
Nâng cấp các chỉ số cơ bản của nhân vật	提升角色基本屬性
Hồ Sơ Nhân Vật & Tiến Độ Thăng Cấp	角色資料與升級進度
Mô tả chi tiết hiệu ứng của kỹ năng.	技能效果詳細說明。
Không có (Gốc)	無（基礎）
Tân Thủ (Chưa nạp save)	新手（尚未載入存檔）
Chủ động (Active)	主動
Bị động (Passive)	被動
Có thể gắn vào vũ khí và vũ khí phụ tại Thợ Rèn để nhận thêm chỉ số.	可在鐵匠處鑲嵌於主武器與副武器，獲得額外屬性。
Có thể gắn vào phụ kiện tại Thợ Rèn để nhận thêm chỉ số.	可在鐵匠處鑲嵌於飾品，獲得額外屬性。
Có thể gắn vào giáp tại Thợ Rèn để nhận thêm chỉ số.	可在鐵匠處鑲嵌於防具，獲得額外屬性。
Có thể gắn vào vũ khí, vũ khí phụ, giáp và phụ kiện tại Thợ Rèn để nhận thêm chỉ số.	可在鐵匠處鑲嵌於武器、副武器、防具與飾品，獲得額外屬性。
EXP cần thiết để tăng Cấp Tổng Hợp Ngọc.	提升寶石合成等級所需的經驗值。
EXP Tổng Hợp Ngọc	寶石合成經驗值
Ngọc Mana / Bổ Trợ	魔力／輔助寶石
Ngọc Phụ Kiện	飾品寶石
Ngọc Vũ Khí	武器寶石
Ngọc Giáp	防具寶石
Cấp Thấp	低階
Cấp Trung	中階
Cấp Cao	高階
Cao Cấp	進階
Đặc Biệt	特級
Thượng Hạng	上級
Thần thánh	神聖
Cơ bản	基礎
Hiếm	稀有
Ác mộng	噩夢
Rất khó	非常困難
Địa ngục	地獄
Tuyệt vọng	絕望
Vực thẳm	深淵
Hỗn loạn	混沌
Thảm họa	災難
Tận thế	末日
Bình thường	普通
Thường	普通
Khó	困難
Dễ	簡單
Lối vào tàn tích cổ đại	古代遺跡入口
Con đường sụp đổ	崩塌之路
Con đường cột đá	石柱之路
Quảng trường phong ấn	封印廣場
Bàn thờ cổ đại	古代祭壇
Hành lang sâu	幽深長廊
Đền cổ đại	古代神殿
Lăng mộ nhà vua	王之陵墓
Phòng phong ấn	封印之室
Trung tâm tàn tích	遺跡中心
Lối vào rừng	森林入口
Rừng dây leo	藤蔓森林
Rừng cây đại thụ	巨木森林
Thung lũng sương mù	迷霧山谷
Đầm lầy độc	劇毒沼澤
Con đường rễ cây	樹根之路
Rừng linh hồn	靈魂森林
Rừng sâu	森林深處
Rừng sự sống	生命森林
Dưới Cây Thế Giới	世界樹之下
Lối vào nhà tù	監獄入口
Khu phòng giam	牢房區
Pháp trường	刑場
Hành lang cổng sắt	鐵門長廊
Phòng tra tấn	拷問室
Phòng canh gác	守衛室
Nhà tù phong ấn	封印監獄
Phòng thẩm vấn	審訊室
Nhà tù dưới lòng đất	地下監獄
Phòng cai ngục trưởng	典獄長室
Cổng lâu đài băng	冰之城堡大門
Con đường tuyết	雪之路
Hành lang băng	冰之長廊
Khu vườn băng giá	冰霜庭園
Đại sảnh pha lê	水晶大廳
Hành lang sương giá	寒霜長廊
Con đường ngai vàng	王座之路
